,tweet
0,아아 트윗 테스트 이모티콘 
1, 교수님 '아이' 하셔야죠 ㅋㅋㅋ
2, 난 가본 적이 아적 엄쓸뿐이고 ㅜㅜ
3, 나 보고 싶어...? 나도 보고 싶다..... 
4, 좋은 아침입니다. 구름이 참 이쁜! 오늘도 모두 행복하세요~~~ 꼭!!!
5, 좋은 아침입니다. 구름이 참 이쁜! 오늘도 모두 행복하세요~~~ 꼭!!!
6,이렇게 대충 만들어도 맛있다  
7,좋은 아침입니다. 오늘도 행복하세요~~~ 꼭!!!
8,좋은 아침입니다. 오늘도 행복하세요~~~ 꼭!!!
9," 나 다음으로 아름답고 향기로운 것이라,,, 찍어주게요!!"
10,아아 트윗 테스트 이모티콘 
11, 교수님 '아이' 하셔야죠 ㅋㅋㅋ
12, 난 가본 적이 아적 엄쓸뿐이고 ㅜㅜ
13, 나 보고 싶어...? 나도 보고 싶다..... 
14, 좋은 아침입니다. 구름이 참 이쁜! 오늘도 모두 행복하세요~~~ 꼭!!!
15, 좋은 아침입니다. 구름이 참 이쁜! 오늘도 모두 행복하세요~~~ 꼭!!!
16,이렇게 대충 만들어도 맛있다  
17,좋은 아침입니다. 오늘도 행복하세요~~~ 꼭!!!
18,좋은 아침입니다. 오늘도 행복하세요~~~ 꼭!!!
19," 나 다음으로 아름답고 향기로운 것이라,,, 찍어주게요!!"
20,  3월 2일 이민우 소집해제 축하드립니다!!  2년 동안 수고 많이 하셔써요. 건강히 돌아와 주셔서 감사해요~ 이젠 신화로 멋진 모습 기대할게요! 사랑해요~
21,3월 2일 이민우 소집해제 축하드립니다!!  2년 동안 수고 많이 하셔써요. 건강히 돌아와 주셔서 감사해요~ 이젠 신화로 멋진 모습 기대할게요! 사랑해요~
22,       오빠들 굿모닝이 잉~~*^^* 오늘은힘내요옹~나두힘내용ㅋㅋㅋㅋㅋ사랑해나의천삿!
23, / / \  . ---- ./   \\\/ //    ( ✩ ✩)   \\ \\\///      |   |      \\\ //      ╰━╯      \\HONGSTARDAY 내가 바보들아 생일 축하합니다
24, / / \  . ---- ./   \\\/ //    ( ✩ ✩)   \\ \\\///      |   |      \\\ //      ╰━╯      \\HONGSTARDAY 내가 바보들아 생일 축하합니다
25, 네 ㅋ 다이어트는 즐겁게
26,앞에 친 업히는 남자 섹시하네.. 땀 흘려 운동하는 남잔 차암~~  흐뭇 ㅋ 다이어트
27, 생일 축하해요
28, 생일 축하해요!!!! 사랑해~
29,잠 온다. 역시 저질체력. 좀 따봐요 예쁜이들
30,올해에만 벌써 두 번 째보는 내 오빠
31,"아, 는적거리다가 기차 놓칠뻔ㅠㅜ 3호 차 특실부터 14호 차 일반실까지 기차 안에서 걸은 나년ㅋㅋㅋㅋㅋㅋ 아오 오빠 보려고 이게 뭐 하는 짓이얔ㅋㅋㅋㅋㅋㅋㅋㅋ빨리 보고 싶다 내 오빠"
32,중국 빨리 와주 세요~정말 기대！   
33, 깍 센스 최고다 ㅎ 내가 기필코 요리 강좌도 찾아낼게 ㅋ
34,잠안와서트위터를켰는데이특신동뭐하세요ㅋㅋㅋㅋㅋㅋㅋ끠요미들ㅎㅎㅎ~슈주살람해용~
35, 생뚱맞기는요!?! 모든 일에 자신감 갖고 시도해 보려는 그 자세!! 너무 멋져요!! 
36, 신동우야~~~ 보고 싶어~!! 
37, 몰디브는 진리임!! 완전 강추 ㅋㅋ 난 다시 결혼해도(응?? ㅋㅋ) 신혼여행은 또 몰디브로 갈 거야 진짜 달러 빚을 내고 무리 좀 하더라도 가면 절대 후회 없을 것임 ㅋ
38, 솔군 파이팅(^^;;너무너무 사랑해요
39,아이고~ 너무 잘 생겼어~ 어떻게요?  
40,  3월 2일 이민우 소집해제 축하드립니다!!  2년 동안 수고 많이 하셔써요. 건강히 돌아와 주셔서 감사해요~ 이젠 신화로 멋진 모습 기대할게요! 사랑해요~
41,3월 2일 이민우 소집해제 축하드립니다!!  2년 동안 수고 많이 하셔써요. 건강히 돌아와 주셔서 감사해요~ 이젠 신화로 멋진 모습 기대할게요! 사랑해요~
42,       오빠들 굿모닝이 잉~~*^^* 오늘은힘내요옹~나두힘내용ㅋㅋㅋㅋㅋ사랑해나의천삿!
43, / / \  . ---- ./   \\\/ //    ( ✩ ✩)   \\ \\\///      |   |      \\\ //      ╰━╯      \\HONGSTARDAY 내가 바보들아 생일 축하합니다
44, / / \  . ---- ./   \\\/ //    ( ✩ ✩)   \\ \\\///      |   |      \\\ //      ╰━╯      \\HONGSTARDAY 내가 바보들아 생일 축하합니다
45, 네 ㅋ 다이어트는 즐겁게
46,앞에 친 업히는 남자 섹시하네.. 땀 흘려 운동하는 남잔 차암~~  흐뭇 ㅋ 다이어트
47, 생일 축하해요
48, 생일 축하해요!!!! 사랑해~
49,잠 온다. 역시 저질체력. 좀 따봐요 예쁜이들
50,올해에만 벌써 두 번 째보는 내 오빠
51,"아, 는적거리다가 기차 놓칠뻔ㅠㅜ 3호 차 특실부터 14호 차 일반실까지 기차 안에서 걸은 나년ㅋㅋㅋㅋㅋㅋ 아오 오빠 보려고 이게 뭐 하는 짓이얔ㅋㅋㅋㅋㅋㅋㅋㅋ빨리 보고 싶다 내 오빠"
52,중국 빨리 와주 세요~정말 기대！   
53, 깍 센스 최고다 ㅎ 내가 기필코 요리 강좌도 찾아낼게 ㅋ
54,잠안와서트위터를켰는데이특신동뭐하세요ㅋㅋㅋㅋㅋㅋㅋ끠요미들ㅎㅎㅎ~슈주살람해용~
55, 생뚱맞기는요!?! 모든 일에 자신감 갖고 시도해 보려는 그 자세!! 너무 멋져요!! 
56, 신동우야~~~ 보고 싶어~!! 
57, 몰디브는 진리임!! 완전 강추 ㅋㅋ 난 다시 결혼해도(응?? ㅋㅋ) 신혼여행은 또 몰디브로 갈 거야 진짜 달러 빚을 내고 무리 좀 하더라도 가면 절대 후회 없을 것임 ㅋ
58, 솔군 파이팅(^^;;너무너무 사랑해요
59,아이고~ 너무 잘 생겼어~ 어떻게요?  
60, Minzy Today is my BirthdaY！ Wish you say HBD to Me Plzzzzz 감사합니다.
61, 잘 자요...”Goodnite
62,Today is Hongki's birthday~ 생일 축하해~홈스타!! HONGSTARDAY
63, ㅎㅎㅎ그럼 그렇지 해 뜨면 보아욥~~ 굿 잠
64, 안녕히 주 무세요 ((_ _)) ... ZzzZZ 보는 거 야 ~ ~
65,행복한 밤이 될 것 같아요 &gt;_&lt;    오늘 처음 가봤는데 커피가 너무 맛있어서 정말 행복했어요 :) 감사해요!!!”
66, 엉니두 잘 자!!!
67, 자기야\(//∇//)\생일 축하합니다 (●´ε｀●) ﾁｭｯ 온 세계의 누구보다도 당신을 사랑하고 있다 일생 따라가요！ 일생 프리마돈나니까\(//∇//)\ 
68,뽀뽀 
69, 황 스타야~~너무너무너무 
70,마더 워터..
71,오늘도 이런 나에게 많은 말을 주고 기뻤습니다 감사합니다. 많은 동료가 되어 절실히 기쁩니다 많이 귀찮게 하지만 사이좋게 지내주세요 추종자 시가 사랑 지나면 내일도 추종자 시가 행복하고 있어요~에 사랑해 잘 자
72,오늘도 이런 나에게 많은 말을 주고 기뻤습니다 감사합니다. 많은 동료가 되어 절실히 기쁩니다 많이 귀찮게 하지만 사이좋게 지내주세요 추종자 시가 사랑 지나면 내일도 추종자 시가 행복하고 있어요~에 사랑해 잘 자
73, HONGSTARDAY 생일 축하합니다! 
74,  대장님~~지안 조카 안녕히 주무셔랅~!!밤엔 쥐 잡으러 갑니닭닭~!! 꿈에서도 잡을까요 ..??!! ㅎㅎ&quot;용꿈 꾸셔랅~!!&quot; 매국노 쥐박이 꿈 사나워랅~!!&quot; 
75, 안녕히 주모세요!!! 굿나이트 오빠 
76, 홍기야~~나도 너무너무 
77, 언니는 잘 잘랐네요 ㅋㅋㅋㅋ키키키킼ㅋㅋㅋㅋ 저 사진 겁나 애정 돋아요
78, 아이폰 독긔
