,tweet
0, 아니그덩요
1,콜록  쿨럭! >  오늘 커피당 뒷풀이는 5시30분까지 종로 커피하우스로 오시면 됩니다 ^^ 회비 4000원 잊지마시구요~!!! coffeedang”
2,콧물이 막! 
3,날씨가 더워지고있어요 걸어서 출근하기가 어려워지는 중 
4,"  맞다.... 젠,,,, 액티베이션 불가... 폰은 어제 않했자나 ㅜㅜ"
5,iOS5로 판올림! 그리고... 연락처가 날아감
6, 아니그덩요
7,콜록  쿨럭! >  오늘 커피당 뒷풀이는 5시30분까지 종로 커피하우스로 오시면 됩니다 ^^ 회비 4000원 잊지마시구요~!!! coffeedang”
8,콧물이 막! 
9,날씨가 더워지고있어요 걸어서 출근하기가 어려워지는 중 
10,"  맞다.... 젠,,,, 액티베이션 불가... 폰은 어제 않했자나 ㅜㅜ"
11,iOS5로 판올림! 그리고... 연락처가 날아감
12, 안돼안돼~~~우리 아직 할게 넘 많아...이웃백도 못갔는걸...
13,긋모뉭 핡핡 I just finished a 10.0 km run with a time of 50:01 with Nike+ GPS. nikeplus makeitcount 다이어트
14,보이프렌드 Fan Meet yesterday 
15, 요즘 바쁘신가봐여트윗에서 보기 힘드네요
16,Rachel 이렇게 사용 하고픈데 저 유명한 요리사 땜에 못 쓰고 잇다아~~
17, 으어어 이놈을 어찌하면 좋으냐아아아아아아아 
18,리버풀~~ 스포츠원에서 중계했다뉘 ㅜㅜ 스포츠원채널ㅇ있었눈데 못봤다 
19,내일 RP대박 주세요..호민 보싶...
20,피곤캡
21,Chaerin AH  채린이의 B-DAY~~~~*^^* 
22, ㅠㅠㅠ아아아왜난한국어이렇게못하는거야ㅠㅠ흙흙답답해ㅠㅠㅠㅠㅠㅠㅠ니눈물이흐른이유를알고싶다. 
23,다리미치도록아프다..ㅠㅠ서빙한다고오늘어제20시간서잇엇는데난아직어린데...ㅠㅠ이러케아픈데!!!우리엄마아빠는ㅠ돈버는게결코쉬운일은아니야!!!
24, 으아아아앙ㅠㅠㅠㅠㅠㅠ나의오빠ㅠㅠㅠ소중한내꼬오빠ㅠㅠㅠㅠㅠ으앙에리카는잔짜.........아아악ㅠ오빠보고파서 죽겠어여~~;_________;에리카
25,*ded* I'm so tired :( Yunho can I kiss you   봉구납 이러나 
26,"아깐 배고파서 CPK gogo! 피자랑 파스타, 그리고 버니니를 후루룩 드링킹해서그런지 6시에 먹은게 아직도 소화가 안된다  근데 우리는 우노 피자를 더 사랑한다  우노는 코엑스까지 가야되서 넘 먹기가 힘들다..."
27, 바짝 신경 쓰겠습니다..미안합니다
28, 돼쏭~i called you to cheer you up a couple of days ago and u didn't pick up 감히 튀쳐 전화를!!ㅎㅎ닥뜰노랑 누더기랑 음틀리는지킬이라 잘 놀고 어여 나랑도 놀아죠
29, 안돼안돼~~~우리 아직 할게 넘 많아...이웃백도 못갔는걸...
30,긋모뉭 핡핡 I just finished a 10.0 km run with a time of 50:01 with Nike+ GPS. nikeplus makeitcount 다이어트
31,보이프렌드 Fan Meet yesterday 
32, 요즘 바쁘신가봐여트윗에서 보기 힘드네요
33,Rachel 이렇게 사용 하고픈데 저 유명한 요리사 땜에 못 쓰고 잇다아~~
34, 으어어 이놈을 어찌하면 좋으냐아아아아아아아 
35,리버풀~~ 스포츠원에서 중계했다뉘 ㅜㅜ 스포츠원채널ㅇ있었눈데 못봤다 
36,내일 RP대박 주세요..호민 보싶...
37,피곤캡
38,Chaerin AH  채린이의 B-DAY~~~~*^^* 
39, ㅠㅠㅠ아아아왜난한국어이렇게못하는거야ㅠㅠ흙흙답답해ㅠㅠㅠㅠㅠㅠㅠ니눈물이흐른이유를알고싶다. 
40,다리미치도록아프다..ㅠㅠ서빙한다고오늘어제20시간서잇엇는데난아직어린데...ㅠㅠ이러케아픈데!!!우리엄마아빠는ㅠ돈버는게결코쉬운일은아니야!!!
41, 으아아아앙ㅠㅠㅠㅠㅠㅠ나의오빠ㅠㅠㅠ소중한내꼬오빠ㅠㅠㅠㅠㅠ으앙에리카는잔짜.........아아악ㅠ오빠보고파서 죽겠어여~~;_________;에리카
42,*ded* I'm so tired :( Yunho can I kiss you   봉구납 이러나 
43,"아깐 배고파서 CPK gogo! 피자랑 파스타, 그리고 버니니를 후루룩 드링킹해서그런지 6시에 먹은게 아직도 소화가 안된다  근데 우리는 우노 피자를 더 사랑한다  우노는 코엑스까지 가야되서 넘 먹기가 힘들다..."
44, 바짝 신경 쓰겠습니다..미안합니다
45, 돼쏭~i called you to cheer you up a couple of days ago and u didn't pick up 감히 튀쳐 전화를!!ㅎㅎ닥뜰노랑 누더기랑 음틀리는지킬이라 잘 놀고 어여 나랑도 놀아죠
46,내얼굴어떻게ㅠㅠ빵이같에 
47,교통사고운전조심하세여 
48, 머리를 자르고~~  handsome!!! Wish I'll see u in person!! 
49, 캬~~~~~~~ㅠㅠㅠㅠ보고 싶은 인석오빠다...24시간 후엔 한쿡에 있어요ㅠ^오빠도 힘들 때 있을 것 같지만나두 열씨미 할테니깐오빠도 힘내요^^푹 쉬세요인석마리나
50," 천사님도 울고, 아이들도 울고...!!!  그 모습이 그려집니다!!저도 경험이 있는지라...사내가 눈물이 많아서..훌쩍이 아니라..펑펑 울었습니다 고맙습니다건승하세요"
51,교통비가 오른관계로 딱한번 받아본 네일 비싸서 다시 못받고 직접 바르겠도다
52,  헉... 맞다... 클날뻔했네;;; 휴우우... 현모는.. 2년뒤에...?  ㅋㅋ
53, ㅠㅠ 그저 부러울 따름임미다... 
54,내일이면또월요일이네난진짜월욜이제일싫더라ㅠㅠ나지금책들도빠딱빠딱읽어야하는뎅ㅠㅠ힘을내쟈
55, 넹... 진짜 잘 놀음  칼로 물베기  나는 왜 마음고생을 한건가 
56,"손 들면 함께 할수 있는겨? !ㅇ! 두손 들었어여, 이제 같이 못 하면 내가 못해본거 하나 늘게 됨다! 책임져  나는 왜이리 못해본게 많은것인가요오 지금이라도 늦지않았어!!!!!! 헛 나와 함께할사람 손~~~~~"
57, 네넴 
58,   시간을달리고파 우리 주그지마 시간 제발 빨리가라해 삼일 뽜이팅!!
59,나는 왜이리 못해본게 많은것인가요오지금이라도 늦지않았어!!!!!! 헛나와 함께할사람 손~~~~~
60,"파우치를 깜빡하고 못챙겨서 하루종일 립밤을 못발라 입술이 바싹바싹 말라가지고 신경쓰였지만,,예배마치고 집에 돌아가는길,마음만은 쵸크쵸크 "
61, 만나고싶어요....난 내일 학교에 가요..오늘 집에 있어요..ㅠ.ㅠ 가 수 없어요..미안해요... 다음에 만나요! 오늘 난 기타를 연습하고 오빠의 음악과비디오를 봤과듣었어요! 다음에 가겠어요 약속해용~
62, 흐엉~~~ 잊으려고 다시 술에 손댈판. ㅜㅅㅜ  ㅎㅎ
63,주님 숨이 가빠요
64, 힘내라고만해서힘낼수잇는것도아니고그러타고우리가뭘해줄수잇는것도아니고ㅠㅠ그럴때마다짜증나면서미안하고슬픔
65, 참석 못해 죄송합니다!!!유익한 시간 보내주셔서 고맙습니다담 기회에 한번 뵙도록 할께요..!!행복한 휴일 밤 보내세요
66, 아락실은 너무 식상해서요 
67,1박2일 끝났어요ㅠㅠ 슬퍼
68,K pop스타. 왜이렇게 슬퍼??
69, 위험해지지 말아요 붸붸
70, พี่.. คิดถึง  อยากกอด ㅠㅠ
71,런닝맨에서 부산나오는거 보니까 부산추억이 새록새록 날풀리면 꼭 부산가야겠다!!!!
72,แช่แว้บ อยากดู แง๊ๆ  ㅠ ㅠ
73,  함께 울어용 ㅋㅋㅋ
74,A와 C..... 갖구싶다......+_+ㅋㅋㅋㅋ돈 좀 주세요~~ 
75,이기우님같은 남정네 있기..? 없기..? 
76,벤치프레스만 한 30세트 한 것 같다. 최고중량 80kg (몸무게 + 5kg) +_+ 이제 플라잉으로 쫄깃하게! 
77, 팔로우 했어용1벅2일 너무 기대하고 있는데 저 한국어 열심히 공부하지 않으면 내용이 이해할 수 없을지도 모르겠네요 아~~~ 그래도 많이 응원할게요감기 조심하세요(•̀ᴗ•́)و ̑̑
78,나도 등따시고 배불러서가방 사고싶네 남친이 어쩐대네이런 쓸데없는 얘기나 하고싶다뭐해먹고 사나 이딴거 말고간만에 엄마 줄 커피 기다리면서 
79, 트위터만 맹이게? 도움이필요해욤
80, ㅋ 저도 떨어진적있어요 ㅋ 
81,미떼 완전 찐~하게 타먹기. 근데 이렇게 찐~하게 했는데도 숟가락으로 풀면 연해져서  으익!  
82, 으히히히 밤밤밤밤밤!!!오랜만에먹으니 맛잇넹???”미안해요! 실수로 starcall을 거부
83,"  디어 클라우드 연말 공연 때 지은님이 보여주신 머리 묶는 법이 문득문득 떠오르는 요즘. 이런 트위이라니요.. 런던이시군요! 펑펑 우셨으니 이제, 힘이여 솟아나셔랏 펄펄"
84, 결국 가려고 나섰어? 님 정말 체력 짱이다. 근데 보면 너무 좋아서 집에까지 콩콩 뛰면서 올거야. 근데 너 언니 산주 빌려주면서 말했어? 나결국 케이스 안지워져서 케이스 바꿨다. 엉엉
85, 고마워....
86, 일헌!!!!! 
87, 오늘 팬미팅 못간답 가고 싶었는데ㅜㅜ 누난 다시 춘천이야ㅜㅜㅜㅜㅜ 나 우러ㅜㅜㅜㅜㅜㅜㅜ 넘 재밌게 하지망ㅜㅜ 이러궁ㅋㅋ 장난이구 막방구 팬밋도 잘하길 바라~
88, 먹으러가세여...난 죽겠당
89,네비게이션도 짜증나면 미치나봐요~ 고집도 있어서 한 쪽으로만 안내하고 아주 불친절한 친구네요~  안내표지판만 보고 헤매다 왔습니다!! 
90,미용실!!!큰둥이 셋팅펌 하는중..흐~졸립다!!!!!
91, 응고마워~~그리고 미안... 
92, 힛 그런가  점심은 드셨어요? ㅋ
93,질풍노도의 시기는 지금이다!!
94,옛날 쉬야~ 오강  
95, 요빠!!!!!!!!!!!!!!ㅠㅡㅠ!!!!!!!!!!사랑해오!!!!ㅠㅡㅠChinese fan always welcome you！
96, 오빠좋은아침이에용~~!!뭐해여??촬영중인가??요새 오빠의스케쥴많아서 고생했나봐여~~*0*몸이괜잖아여??걱정이디만 우리빨리만나야게땅~~>___<히힛에리카
97,on my breakim soooo tired 한번 웃어보잣!설정 샤샤샤샤샷  
98, 마리능알바고고싱~아자아쟈!!
99,날씨가 갑자기 또 후덜덜하게 춥당..2월말에 이건 말도 안돼ㅠㅠ장갑을 껴두 손이 꽁꽁 으앙
100, 창현아~안녕오하요잘잤어요?아침밥 먹었어?많이먹어(^-^)나는 창현가 행복하다면 그걸로 촣아요~でも…만날 수 없어외로운거야오늘은 뭘하고 있습니까？오늘도 함께 힘내자~창현아~항상 어디에있어도사랑해요~
101,오늘은 지하철역에서 델리만주를 사 먹을 수 있었으면 좋겠다
102,존박 Falling듣는데 개인적으로 가성을 별로 안좋아해서 그런지...ㅜㅜ 존박은 저음이 짱인데 아쉽다
103,쿠웨이트쿠웨이트쿠웨이트쿠웨이트쿠웨이트KuwaitKuwaitKuwaitKuwaitKuwaitKuwaitKuwaiOppa come to kuwait 
104, 드뎌오늘은 오사카공연하는날!!!!!빨리9명의무대가 보고파요옹티겟 비싸도 보러갑니당ㅎㅎㅎㅎ좋아니깡ㅎㅎ에리카
105,"뉴욕몇주갓다왓다고시차적응하는건가,,??잠안와죽겟네,,,"
106, 나도 …。
107, 너무 잘생겨서 불안해요..
108, 내사랑. 일케 착해서 불안해죽겟어여! 
109, 주녕군오늘은 진짜 고마워요ㅠㅠ보물로 하네요! 쭉 아주 좋아하기 때문에 
110,아 일본 가고 싶지만 방사능이 두려워 ;( 화장품도 일본 제품들 너무 좋은게 많은데 슬프다 
111," miss u, miss u, miss u, miss u, miss uuuuuuuuu....  ㅠ.ㅠ 너무 보고싶다~~~~ ... Sigh~~~  take care baby~~~ u"
112, 와우~~^^ 이뿌다!!!
113,아.... 아침부터 달달한게 땡긴다... 쩝.... 일 시작도 하기전에 스뚜레~~~~쑤~!!!! ㅋㅋ 쪼꼬렛!!! 쪼꼬렛!!! 아니다... 아침이니까... 라떼!!!!!!
114,에잇 ~~~~~ !!!!!! >.< 심심해에에에에에 ~ 
115, 내말이..!!!!!!!!!! 이런 썩어빠진 정신상태를 먼저 뜯어고쳐야해...
116, 신애되는 기유리 그렇게 슬퍼 하지마 
117, 정화야 ~~ 늘 아름다운 모습에 감동하고 있어 ~~ 멀리서 있어도 정화가 성장하고 있는게 보이는듯해 ^^ 주님과 멋지게 비상하는 너의모습을 꿈꾸고 있어~ kwf in korea 잘해보자 ~~  미슈 ~
118,아우~. 농수산에선 중국여행. 씨제이에선 큐슈ㅠㅠ. 미추어부리겠눼~가고 시펑~~~~~~~~보내줘~~~~
119,하루 수고하셨습니다 싫은 기분한 하루이어서 한 내일은 행복한 하루가 되고 싶구나 윤은혜씨 사랑해 하루에 ♪───Ｏ（≧∇≦）Ｏ────♪
120," 앗 ..1호님(꾸벅)~!! 모임 안가셨구나..??!!! 담엔 울끼리 합시닭!!!!그런데,민주당 왜근데..!!!  정말 화가 나는 짓을 하니..이번에 어쩌려구 저러는지..!!  젊은 층이 모두 통진당으로 선회하고 있어요"
121, 어쨌든 보내요. 
122," 에이구...삼촌 잡니닭!!! 울 대장님 튓 들어가 보셔요!! 어제 몇개 올리신거 알튀했는데,피곤해 보이심난 새벽에 나가야해요 굿 나잍 일욜 저녁에 만나욥"
123,연락하고싶어도 그냥 이생각저생각으로 연락못해 그래도 나도모르게 혼잣말로 중얼거리게되는 이름 ㅠㅠ 참힘들다 어떻게 내마음을 말해야하는지ㅡ어떻게해야하는지 모르겠어 엉엉
124, 에잇!!!!!!오빠가 언제일본오는지 길성오빠가 않알려줘용ㅠ.ㅠ샨오빠볼수잇을까 불안이당~~낼 꼭 다른매니저오빠한테 물어봐야게땅ㅋㅋ에리카
125, 아닌데...제 남잔데 흑흑 
126,제 치아가 너무 아파요. 
127, ㅋㅋㅋㅋ마음 아픈말이긴 하죠
128," 지치고 힘드시겠지만...용기 잃지 마셔요!!  국민이 지켜보고 있습니다.!!! 건강 잃으시면, 무용지물입니다화이팅 "
129,내일도 약속있으니까 가자마자 진통제먹고 기절해야겠다 힘들어  근데 기분은 좋다
130, 오빠~~!!!오늘 제아오빠들이 겔리라라이브했어용시완오빠가없너도 멋지구완벽힌무대였대요ㅎㅎ빨리오빠가 일본오면좋게따....진짜보고파염~~*0*에리카
131,      스윗 드림낼 아침 인사 못드려욥이른 일정이 있어서..!!행복휴일 맞으세요
132,       안녕히 주무세요쫌 이른가요 ㅎㅎ 낼 일정이 있어 아침 문안 인사 못드립니다행복휴일요
133, 묵은지있음 전 고등어넣고 지져먹어요~~^^* 아~쓰읍~~ 군침돈다 ㅋ
134, 나도 먹어싶어~~~ 
135,으엑- 벌써 1년 전 사진이라니......
136, 사랑아~ 너무 보고싶다 
137, 감동이다내 동생은 사진빨인뎈ㅋㅋㅋㅋㅋ엽사따위 안찓음ㅋㅋ
138,"위가 아프다.오늘은 과식했습니다. 미안해요,그리고 노력하겠습니다 "
139," 관장님..재 짧은 생각엔..문장 미사어구도 쓸 줄 모르는 제가 여러분들께 각 인사를 올리려하니,탐라인에도 민폐라는 생각이 문득들어,결례를 무릅쓰고,양해 글 올렸습니다!! 어예삐 봐주시오!!고맙습니다평안한 밤을.."
140,      감사합니다~~불초소생~~보은에 보답토록 성실히 살면서 갚겠습니다
141, 그러게요 :) 전 얼마전에 연주내내 다리 떠는사람 옆에 앉았다가 울뻔 ㅠㅠ 그러고보면 신경이 쓰이는것들은 박수보다도 사소한것들인듯... 영화관 의자 발로차는것보다 더 스트레쑤 
142, bye bye 오빠들이 영원히 사랑해 씨엔불루 대박!!!มาไทยอีกเร็วๆนะ 
