,tweet
0, 굿모닝~ 그러나 잠 오는 아침
1,the last word you say it to me was so hurt.... i hate you ..!! 당신이 내게 말씀을 마지막으로 단어는 너무 상처되었습니다 .... 난 당신이 싫어요 ..!
2, 난 정말 당신이 제일 좋아하는 멤버이기 때문에 당신이 나를 회신 바랍니다. 이거 보고하지 않을 수도 있습니다. 
3," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
4," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
5," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
6,  수현 씨~~저는 오늘 회사에서 interview 했어요~~근데 잘못했어요~~너무너무 슬펐어요~~今も 기분이 너무너무 나빠요~~
7, 사진이 없으면 멘션 못 받을 까요? 
8,짜증 짜증 짜증 짜증 짜증 짜증 
9, 지금 시점에 3아이들은 다 정신 못 차리고 그러나 봐요ㅋ 실은 3에게 집착 아닌 집착을 하는지 영 다른 건 눈에 들어오지도 않네요 
10, 나야~~of coz la~~
11, 수현 씨~~저는 오늘 회사에서 interview 있었어요~~근데 잘못했어요~~너무너무 슬펐어요~~今も 기분이 너무너무 나빠요~~
12," 오. 많이 길었나 보다. 난 앞머리를 옆으로도, 앞으로도, 양쪽으로도 할 수 없는 (거지 같은) 상태로 벽만 보면서 살고 있음..."
13, 머 하심? 난 사진 보고 있음... 조상훈 님과 서현우 님. 므찌심~~언제나 다시 볼 수 있을까 나 
14,대답이 없는 건... 싫다는 걸까!?? 
15, 울 집 드롱기   오빠가 선물해준 사랑의 하와이안 코나 = 천하무적 커피 맛을 보여주는데 
16, 음...... 혹시 배운 거 써봤어??? 
17,판다 정말 못생겼다..... 이젠 주름까지.... 
18,กูลืมจ้าาาา  ㅋㅋㅋㅋ
19, 굿모닝~ 그러나 잠 오는 아침
20,the last word you say it to me was so hurt.... i hate you ..!! 당신이 내게 말씀을 마지막으로 단어는 너무 상처되었습니다 .... 난 당신이 싫어요 ..!
21, 난 정말 당신이 제일 좋아하는 멤버이기 때문에 당신이 나를 회신 바랍니다. 이거 보고하지 않을 수도 있습니다. 
22," 오빠, 싱가폴애 언제 오실 건가요? 오빠 보고 싶어요! "
