,Unnamed: 0,labels_text,tweet
0,0,__label__5,"I'm a joke, but my kids. I'm annoyed not having a local fan on this activity."
1,1,__label__5,"I have a half-brother, even though it's annoying to me, but when I do what I do, I try to make things worse. I want to bury myself once and for all."
2,2,__label__5,I want to see Nakuroseu I want to see at school Oh annoying school
3,3,__label__5,"I do not think it's a good idea, but I can not guarantee the results. I do not think I can see it well."
4,4,__label__5,There are days that have been treated with a lot of annoyance. ㅜ I'm cheerful.
5,5,__label__5,Blocks are less irritating than unfollowing. Maybe.
6,6,__label__5,"If you do not believe me, I will not believe you. If you do not believe me, why did you ask me? If you do not answer me, I will not believe you. I have to ask people."
7,7,__label__5,"Oh, it's really annoying, Nick."
8,8,__label__5,"I am a couple of friends around me, and of course I am solo. But if you tell me about this, you do not want the same answer and you do not hate the couple. Do not let the two people die."
9,9,__label__5,"Suddenly, Nami picked up for the first time."
10,10,__label__5,I know how it feels. It really hurts when I really combine it. I'm busy. I'm worried I do not have a lot of hair.
11,11,__label__5,I do not think I should be able to use it when I say I'm out and I'm out.
12,12,__label__5,It's dangerous.
13,13,__label__5,"You always make me a hard time. From my point of view, I do. I do not have time to meet each other. I get irritated and upset. I need people who have a selfish job like us to be very dedicated to each other."
14,14,__label__5,ㅋ ㅋㅋㅋ I'm going crazy studying.
15,15,__label__5,"I do not think it took a long time to change the design of the perfume lid, so why do not you have to delay what you want to do with your fans?"
16,16,__label__5,"When I feel sick before sleep, when I feel depressed,"
17,17,__label__5,"Oh, this is soooooooooooooooooooooooooooooooooooo!"
18,18,__label__5,"I'm really annoyed. There are so many people in this country who do not wash. Oh, I'm sick and tired of the smell from morning."
19,19,__label__5,I do not want to be searched if I do not want to do it.
20,20,__label__5,I do not think it's annoying.
21,21,__label__5,"I do not know if this is the first time I've seen this video, but I do not know what to do with it."
22,22,__label__5,You do not have to be on Twitter
23,23,__label__5,"Oh yeah, it's okay. ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ this is the third time this patient is already annoying 옄 ㅋ ㅋ ㅋ Hihi"
24,24,__label__5,I think the song lyrics are the image of the song.
25,25,__label__5,It's annoying.
26,26,__label__5,Lol lol lol lol lol lol lol lol lol lol lol lol lol lol lol
27,27,__label__5,"I tried to cry out a hearty Miss Time, but I shouted in a rush after a picture error and uploaded it again, but the limit of the number of characters in Shiba was limited and I posted it in the end."
28,28,__label__5,Nuclear Shield Ooh!
29,29,__label__5,"If you talk to Sejong that you have to walk a lot, I'll let you know that he is so annoyed and I will not let you know."
30,30,__label__5,Why are you so annoyed?
31,31,__label__5,Admittedly annoying
32,32,__label__5,I'm going to tell my dad.
33,33,__label__5,"There are so many people in the world that I do not mind too much, but do not mind it is annoying, but if you care about everything, it's hard for you"
34,34,__label__5,"I'm sorry to hear that you want to buy a bag, but it will not be easy to find a better one later."
35,35,__label__5,"I do not think the kids are not bad, but I have a certain two spoken words and I eat them and I eat them. One of the annoyed dogs is uncomfortable because I can not get any cicatrices in every place. In the viewpoint of the viewer, it is not cicil but not sprout. I want to quit the pot"
36,36,__label__5,"My boyfriend is jealous and he is playing a joke, but he is struggling to get his head up to his head. I get a call to Jagi. I put my phone in ear with his earphone. He looks right at me. He says I have to get down this time. I'm going"
37,37,__label__5,"The weather is hot, it sweats a little,"
38,38,__label__5,"After a few years, the friend would be the same, but since you are right to do it, do not get annoyed. I think your friend is sad."
39,39,__label__5,"My body is worn out, but why do not you take it? ㅠ ㅠㅠ?"
40,40,__label__5,"I will not regret it. I'm different than Sento. I'm short of a lot, I'm irritated, I'm a goddamn kid."
41,41,__label__5,"If you do not cave in, you will not be penalized."
