,Unnamed: 0,labels_text,tweet
0,0,__label__4,"I always love you, my brother."
1,1,__label__4,"I have always been very hard to get to first because I have to go to the front of the line first. I always want to come to you first, and I want to thank you for it. I really care about it."
2,2,__label__4,I hope you will not be okay. I would like to thank you more.
3,3,__label__4,I'll be right there.
4,4,__label__4,Handsome and Cute We are the happiest of birthdays We love you in all of our hearts that will support your dreams come true all the time and always take your own care to hope you forever
5,5,__label__4,Awesome
6,6,__label__4,ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ ㅎ
7,7,__label__4,I hope you have a good day today.
8,8,__label__4,I will celebrate my birthday.
9,9,__label__4,I have to go to bed early.
10,10,__label__4,I love you so much no matter what happens I am always happy
11,11,__label__4,Hello. It's just the bamboo.
12,12,__label__4,I like it so much that I exchanged a lot of mentions with Gai today.
13,13,__label__4,Tae-hyung is a king
14,14,__label__4,Tamang
15,15,__label__4,I'm my first singer I love you
16,16,__label__4,Hello. I'm here to leave a trace. Happy Warner won.
17,17,__label__4,Io Yo
18,18,__label__4,Ji-woo Ji-min is good-looking Ji-min is a miracle left by an angel
19,19,__label__4,Years ago today
20,20,__label__4,"No matter what time it is,"
21,21,__label__4,Min-jun-ke
22,22,__label__4,Hi Baik Hyun
23,23,__label__4,Next quickly
24,24,__label__4,Thank you Heed
25,25,__label__4,"I lost my batch, but I do not go to the bronze, I have a silver riddle."
26,26,__label__4,I love you too
27,27,__label__4,"I'm afraid to stand in front of you Always hide in and look at your back view When will you stand in front of you Fools who do not know my heart I want you to be the bamboo, not you"
28,28,__label__4,Thank you for the commission application
29,29,__label__4,Lift
30,30,__label__4,Songs that are still playing while listening to the muunno
31,31,__label__4,I always thank you for putting on a present for me. Inggrick took my gift.
32,32,__label__4,Brother come to Beijing soon
33,33,__label__4,I've been sleeping a long time. Good night.
34,34,__label__4,Happy birthday My brother Jimmy I hope that you will always be the best hope I will soon be restored from the pain you feel Hopefully this year will be the best memories Always be an angel and smile and love you Brother
35,35,__label__4,Kang Daniel I'm the best of you Sung Woo Yun Ji Sung Kim Jae Hwan I'm a girl in the car I'm very happy to cheer on Yong Won All the Woners cheer Everyone Wonner I want to cheer up everyone I support Wonner Won
36,36,__label__4,"The day you see your sister, there's always something special happening. It's always fun."
37,37,__label__4,Thanks for the humming.
38,38,__label__4,Hicky sister side
39,39,__label__4,Congratulations to Jimin.
40,40,__label__4,You're from the stars Kim Soo-hyun
41,41,__label__4,Suddenly this is what happened 얔 ㅋ ㅋ ㄲ ㄲ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ 어 어 어 어 어
42,42,__label__4,I love you too.
43,43,__label__4,This is a man who is a perfect man.
44,44,__label__4,This is such a beautiful and delicate rain.
45,45,__label__4,Teacher I saw this now why do you keep it All my heart
46,46,__label__4,"Hello Parking.I'm sorry at the late hour.I'm sorry to have left your trail.I'm here to thank you for coming and I hope you will come forward.I'll be your best friend.If you make a mistake,"
47,47,__label__4,The bigger the better
48,48,__label__4,Kim Form Departure Pros
49,49,__label__4,Our Shin Woo who keeps busy all day
50,50,__label__4,Incheon International Airport
51,51,__label__4,It's a heart of hearts. It's so cute if you can not talk to two people.
52,52,__label__4,Goodnight Jonghyun Oh Soon Tweet Tweets I will be waiting I love you safe
53,53,__label__4,Good-bye.
54,54,__label__4,I saw the trail of a friend.
55,55,__label__4,I could not take my eyes off. Nice stage. Thank you for playing a good song.
56,56,__label__4,"I played soccer with Jihan Army and drank beer, talked a lot and enjoyed it. I had a wonderful time."
57,57,__label__4,My sister is so cute. I want to kiss her legs.
58,58,__label__4,I love Jimin brother
59,59,__label__4,Gyeongbokgung
60,60,__label__4,Good for my brother.
61,61,__label__4,Thank you.
62,62,__label__4,Thank you for always taking a nice and nice picture.
63,63,__label__4,I really love you and look.
64,64,__label__4,"Happy birthday, please do not hurt ㅠ I'm healthy and I love you a lot, but I know, but Jeonny Sir, today is a happy day,"
65,65,__label__4,Thank you.
66,66,__label__4,I had a shower in my towel and a towel in my shower. I did not shower with my towel.
67,67,__label__4,Korean star movie star award ceremony Red carpet Kim Woo-bong
68,68,__label__4,After a hundred thousand won
69,69,__label__4,Hello to Twitter on Twitter
70,70,__label__4,They wear the same jacket
71,71,__label__4,You are too pretty with Hurley. And God is unfair.
72,72,__label__4,Happy Birthday
73,73,__label__4,Woong We Long Term Long Term
74,74,__label__4,Happy Doll Hello
75,75,__label__4,This is an amazing guy. Good night.
76,76,__label__4,good night
77,77,__label__4,Thank you for expressing rather
78,78,__label__4,Ji Min's birthday Happy birthday Ji Min's brother
79,79,__label__4,Yoon Ki Ii Ii
80,80,__label__4,Hehe ㅔ ㅔ ㅔ ㅔ
81,81,__label__4,This is the only time I can boast about the pussy made by my baby.
82,82,__label__4,Don. Thank you for writing the stickers on the illustrations. I like Don's nice and fascinating places. I will continue to cheer you up. Dance Fighting
83,83,__label__4,I wish you a happy birthday.
84,84,__label__4,Dong Hyeok
85,85,__label__4,It is so cute.
86,86,__label__4,I love you too
87,87,__label__4,Min Seok Brother
88,88,__label__4,Thanks
89,89,__label__4,Well seeing king
90,90,__label__4,Woo Ji Min's brother
