,Unnamed: 0,labels_text,tweet
0,0,__label__1,Pop star Unexpected appearance of stronger Bernard Park
1,1,__label__1,I know that Inter has been in the process of getting involved. I think it was between minutes. I do not remember much.
2,2,__label__1,Abdominal abs Leo abs
3,3,__label__1,Always a pretty and very good friend Always tell me beautifully and my best friend is the best friend I have.
4,4,__label__1,"Ah, but the real back is a tongue-chan."
5,5,__label__1,"I'm so sorry.I'm sorry.I'm sorry.I'm sorry for boss.I do not feel sorry for you.You do not get hurt,"
6,6,__label__1,ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ
7,7,__label__1,"Danielle's eyes are so good. I have different moods with my eyes. Every time I draw, I think I'm different. Thank you for waiting. Have a nice day."
8,8,__label__1,I will not.
9,9,__label__1,I just want to meet you guys so much that I listen to only the songs of Vicks recently.
10,10,__label__1,Thank you. I have to wear it very warmly. I'm going to warm everything up suddenly. I'm not used to it. I want to take care of my sister.
11,11,__label__1,Today is the end of the last day of Nam Jong Jung
12,12,__label__1,Incheon Fan Signing Society
13,13,__label__1,cute
14,14,__label__1,"I am sending hartwick, whispering, but it is too late. Thank you very much, but I love my father's melody."
15,15,__label__1,Nam-hyun Han-bok
16,16,__label__1,I will be able to go. I will. I will see you sometime. This week.
17,17,__label__1,JingNing King Ming will not leave
18,18,__label__1,I'll talk to you a lot.
19,19,__label__1,"I wore only one thin one-man inside, and it was not cold at all. I want to boast to the people who are beautiful and roadside every time I see it. I really appreciate the tool Lord."
20,20,__label__1,Thank you very much.
21,21,__label__1,Always be careful to duck and dragon
22,22,__label__1,"I just saw it, but I wondered that the mystery was really great and I feel so good that I feel like being a big boy. ㅠㅠ Jangchimmi Peliko is a person who gives me a pleasant energy even if I just like to see him."
23,23,__label__1,Thank you very much.
24,24,__label__1,I do not want to be so horny. I do not want to hurt you. I do not want to hurt you too much.
25,25,__label__1,I will not return
26,26,__label__1,hate
27,27,__label__1,"If it's serious, I'll try and understand. I do not understand why the reasons are not important. But thank you for your warm consolation."
28,28,__label__1,I did not want to come to school too much.
29,29,__label__1,There is a delicious bakery in Jeju Island too.
30,30,__label__1,Please let me see it once before I die.
31,31,__label__1,Nadu Casanova I want to see you tame it. I do not think it's a reenactment.
32,32,__label__1,I came by force.
33,33,__label__1,I am not a business traveler but I moved from a mountain town for almost a year and my husband is zero.
34,34,__label__1,"Do not go, Gary."
35,35,__label__1,I can not attach a photo when I update it.
36,36,__label__1,JayJay.I'm sorry.I do not want to turn around and keep forgetting.
