,Unnamed: 0,labels_text,tweet
0,0,__label__2,It's more beautiful than I am
1,1,__label__2,You are keeping a vacant house.
2,2,__label__2,I have an idea in Turkey
3,3,__label__2,It's boring.
4,4,__label__2,I want to eat
5,5,__label__2,Interrogation
6,6,__label__2,Tension is low today.
7,7,__label__2,"The problem of mind and choice, as always in all things, will continue in the future."
8,8,__label__2,"Ugh, man, uh, uh, I'm sorry."
9,9,__label__2,Taiwan is the telegraph
10,10,__label__2,"I opened up my book to read it, but I want to cover it with beer and eat beer."
11,11,__label__2,I'll pay for it and go to the academy.
12,12,__label__2,I miss you
13,13,__label__2,Pounded chicken chicken fillet
14,14,__label__2,"A few months left of the presidential election Ahn Chul-soo is not looking too much. A poor cook says he sees a lot of liver, but he does not even allow time for verification."
15,15,__label__2,Nominu
16,16,__label__2,Why do not everyone just growl
17,17,__label__2,"I know that there are a lot of people who support and watch. I am not shy about having a feeling of burden. I have never been so kind to send a mentor, but today I just wanted to tell you something."
18,18,__label__2,"Mr. Tao, you better get hurt."
19,19,__label__2,I will study hard to study Korean similar to Japanese but difficult
20,20,__label__2,I miss you
21,21,__label__2,You're okay.
22,22,__label__2,"I am happy if I sleep now, but I suffer tomorrow."
23,23,__label__2,It's really cold
24,24,__label__2,He still hates me when he left me.
25,25,__label__2,"Kagoshima is not in Korea. How about Korea? When I go to Korea, I want to meet Jonghwan quickly because it is a clear forecast. Japan 100%"
26,26,__label__2,I do not know if I'm worried about anything but I do not have a nickname. Give me somebody.
27,27,__label__2,I want to see you too. I want to see you so much. I have to work. I do not think I'll see for a while. I can not forget about it.
28,28,__label__2,I'm a fucking fucker.
29,29,__label__2,I'm bored.
30,30,__label__2,I hear a falling gauge of mine.
31,31,__label__2,Ming
32,32,__label__2,Freeze
33,33,__label__2,My sisters will not know forever. I will not even know that my daughter will fly and become a parent. Mother and sister are different again.
34,34,__label__2,My emoticons
35,35,__label__2,This is a picture of my soul.
36,36,__label__2,Thank you for coming to support me today. I'll see you tomorrow.
37,37,__label__2,Somen Calder is a bracelet
38,38,__label__2,앜 ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ that is a disappointment.
39,39,__label__2,I have an idea in Turkey
40,40,__label__2,My sister has one more account for you. I want to see you all the time.
41,41,__label__2,"It's only a sigh these days, so our goal is still."
42,42,__label__2,I'm sad.
43,43,__label__2,Do not sell healthy food.
44,44,__label__2,It is a dog that is a shit and a dog and it barks. ㅠ ㅠ It keeps pouring in the pudding and I went to Moon Moon Hospital last night and was trapped in a strange room.
45,45,__label__2,"Paradise Oh, who forcibly locked you Oh"
46,46,__label__2,Chongqing Let's love Let's love
47,47,__label__2,I am so sorry that I have read and I have just read them. I am doing my homework. I have a red day tomorrow but I do not even know how to go to school.
48,48,__label__2,It is very cold tonight. Take a warm bath and rest your leg. I will come to see you from the end of the day tomorrow.
49,49,__label__2,Sorry my fault
50,50,__label__2,I miss you
51,51,__label__2,Wake up.
52,52,__label__2,This
53,53,__label__2,"Oh, I can not come at last."
54,54,__label__2,do not have
55,55,__label__2,"흅 Diet from when it is dizzy and I do not like to eat well when I should eat it, but I have to do it quickly, but my body does not follow ㅠ low quality of health"
56,56,__label__2,The next two will be big enough to collect.
57,57,__label__2,I have an idea in Turkey
