,id,text,created_at,retweet_count,favorite_count,source,user_id,user_screen_name,user_name,user_created_at,user_description,user_followers_count,user_friends_count,user_location
0,1134876265385619456,요즘 일일을 바쁘게 채우며 지내는데 물론 일 한 만큼 벌지만 계속 이 수준일 거라는 생각이 자주 들기도 하고 - 그냥 멈출까 이왕 이럴거 더 흥미를 느끼는걸 할까 별별 생각을 해보려고 시도 하지만 한 생각을 끝까지 물고 갈 시간조차 없다😱,2019-06-01 17:36:01,0,0,Twitter for iPhone,901404116450070530,steeltantrum,생선🐟갱보,2017-08-26 11:21:03,"물고기 같이 생겼다, 나..",8,17,대한민국 서울
1,1134871395110858753,"RT @mlkinobg: 으어, 눈이 말똥. 웸블리 중계 시간 맞춰서 며칠 전부터 컨디션조절 할 껄. 갑자기 바꾸려니 안되네. 날밤 샐 각이다.🥺😱

#PremiosMTVMIAW 
#MTVBRKPOPBTS 
#MTVBRFANDOMBTSARMY 
@B…",2019-06-01 17:16:40,4,0,Twitter for Android,1115947169628844033,lbtslove18,툽툽바람2💜,2019-04-10 11:58:33,툽용계정2 방탄사랑💜함께해요 홧팅!!😊,273,286,
2,1134864340790595585,RT @ninahi_official: [RT+팔로 이벤트] 통크게 쏩니다! 화끈하게 50명 당첨 이벤트!!😱 코팅 태양계 뱃지의 지구+외행성계 텀블벅 프로젝트가 진행됩니다. 이젠 부식걱정없이 마음 놓고 달고 다녀요!🥰  후원하기- https://t.…,2019-06-01 16:48:38,419,0,Twitter for Android,1134498153997062146,Mesilll,매실,2019-05-31 16:33:32,뱃지를 좋아해요 ٩(◍ ᐛ ◍)و,1,82,
3,1134862572820320256,"RT @juicy_sammy: 오늘의 시야와 오늘의 슬로건💜🤗
오늘은 5층 하나님석ㅋㅋ
오금저리는 시야에요😨
#MTVBRKPOPBTS
#MTVBRFANDOMBTSARMY
#PremiosMTVMIAW
@BTS_twt https://t.co/xXEFsB…",2019-06-01 16:41:36,1,0,Twitter for Android,1120290186699706368,CyTae1,CyTae💜,2019-04-22 11:36:09,"°°°Don't mess with BTS stans that's like asking for death ya 😏😎👑°°°



'' Tunisian ARMY 🇹🇳 ''",177,186,Tunisie
4,1134862114894405634,"@cha_todiras ㅋㅋ저는 영어를 잘 못해요😰
한국어도 아직 공부중이라 번역기가 필요해요💦",2019-06-01 16:39:47,0,1,Twitter for Android,2917588794,semo_nemo_,nemoko🥕🐰❤️,2014-12-03 13:32:05,"K-POP❤대왕❤🐰大王❤
#PinkFantasy❤
推しのウサギに「네모코 =당근」と言われたLUVIT
NOIR❤시하❤韓国❤韓国ドラマ❤",184,140,Tokyo
5,1134860833203212288,"RT @seoulmania: 47초부터 소름 😱😡
긴박한 상황에 다행히 범인은 체포되었는데..
경찰이 빨리 출동할 수 있었던 이유는?
.
.
.
🔎여성안심귀가스카우트 자세히 https://t.co/lbrbUraUGL
#범인 #검거영상 #체포 #CCT…",2019-06-01 16:34:41,5137,0,Twitter for iPhone,573330172,locnim,이름은 비워둘 수 없습니다,2012-05-07 05:35:29,,129,105,
6,1134860772444475392,"RT @dytpqdlxn: 이집트와 그리스는 망한 나라?😱
지금도 멀쩡히 있는 국가들🌏인데요?
모르고 푸는 자의적해석은 이제 그만~🙅‍♂️

[HMBC] 계 17장 [다섯 왕]의 참 의미는?
▶ https://t.co/APdyanjwJC   

🍒천…",2019-06-01 16:34:27,506,0,Twitter for Android,3253221248,kb7312u,연아(맞팔100%),2015-06-23 02:45:15,,1326,1811,
7,1134859488500994048,@jinnij215 😱😱😱😱피가,2019-06-01 16:29:21,0,0,Twitter for Android,939844754732281856,star79100484,데스크롬,2017-12-10 13:10:25,,29,996,대한민국 부산
8,1134859269738680320,@jjjj_8880 그소리는..😱😱😱😱😱,2019-06-01 16:28:29,0,0,Twitter for Android,939844754732281856,star79100484,데스크롬,2017-12-10 13:10:25,,29,996,대한민국 부산
9,1134859057703997443,"RT @jJiImMbts: @BTS_twt @wembleystadium 으아아아아아😱💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
#MTVBRKPOPBTS
#MTVBRFANDOMBTSARMY
#PremiosMTVMIAW @BTS_twt http…",2019-06-01 16:27:38,5,0,Twitter Web App,338870146,BTS_jj1204,핑진이진리_JIN💗,2011-07-20 06:41:20,"💚가끔 혼잣말 주절쥬절
💜느려도 끝까지 평생 곁에 있을게,
🧡헤더 쪼꼬님 
🖤ONLY BTS X 7명올팬 석지니를 조금더💖2018.03.20~ ing 석지니랑 동갑💙",186,217,김석진 옆
10,1134858426276876289,"오늘의 시야와 오늘의 슬로건💜🤗
오늘은 5층 하나님석ㅋㅋ
오금저리는 시야에요😨
#MTVBRKPOPBTS
#MTVBRFANDOMBTSARMY
#PremiosMTVMIAW
@BTS_twt https://t.co/xXEFsBKjH2",2019-06-01 16:25:08,1,4,Twitter for Android,118025826,juicy_sammy,🐥스윗스웻jim🐥,2010-02-27 10:42:07,only BTS💜 무한알티요정! 편히 다가와주셔요😊,269,414,대한민국
11,1134858026479783938,"@BTS_twt @wembleystadium 으아아아아아😱💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜💜
#MTVBRKPOPBTS
#MTVBRFANDOMBTSARMY
#PremiosMTVMIAW… https://t.co/BUBsSqdcEA",2019-06-01 16:23:32,5,8,Twitter for Android,912521357941866497,jJiImMbts,찜니찜💜Persona🤟,2017-09-26 03:37:00,"방탄만하는 어른아미🤗💕
🐨🐹🐱🦄🐥🐯🐰
※초멘안가려요.뎀늦어요(알람안와요)
※모멘트-방탄투어 정리",3967,1775,대한민국
12,1134857359833030661,"RT @uplusidollive: [#트와이스 in #아이돌룸]

아직 끝나지 않은 #TWICE 의 아이돌룸🤫

🐂!소오름 주의!🐂
데뷔 시절 #정연 과 #지효 가 예언한 
트둥이들의 모습은?!😱

#아이돌라이브 에서 아이돌룸 비하인드 영상확인하러…",2019-06-01 16:20:53,278,0,Twitter Web Client,784622979690926080,Spiral_Candy,Spiral Candy,2016-10-08 05:14:30,,0,276,
13,1134851120872902656,한 분이라도 올리지 말라면 안 올려야지라고 타래 덧붙이러 왔는데 벌써 한 분 계심... 안 올리겠습니다... 소중한 트친 분을 잃고 싶진 않네요😱...,2019-06-01 15:56:06,0,0,Twitter for iPhone,1129569173988814848,kogo_cos_,코고야 사랑해,2019-05-18 02:07:32,🇰🇷CosplayerㅣFUB freeㅣ하고 싶은 것들 못 하는 중.,93,83,대한민국
14,1134850699739615232,@Type_BBB 으아.....어뜩게 그렇게 잘하시지 알려주세요 슨생님💙😱,2019-06-01 15:54:25,0,0,Twitter for Android,1078928139391094785,7feH0Y5c6BtyENA,헤실_,2018-12-29 08:18:08,"대장님❤/쉐어❤
헤아아악",43,254,서울
15,1134849966482976768,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 15:51:31,50,0,Twitter for Android,3231870661,young_0316,라기 🌵(지민♡바라기),2015-05-31 16:39:21,"BTS♥ 언제나 함께해여 ^^♡
우리 일곱멤버 영원히~♡우리구오즈 좀더 애껴요😆
3n 아미♡",508,283,
16,1134849809133654017,@satan96411 으앙 예쁘....푹(믿을 수 없다는 표정😱😱 https://t.co/huGKMMwqPj,2019-06-01 15:50:53,0,1,Twitter for Android,881005092022792194,sQXA6XfMpWdNZ1u,💃🏽💃🏼하늘에 선 른른💃🏼💃🏽,2017-07-01 04:22:37,블리치/사면초가 아이젠/빙의젠 인생루트 /멘션 주시면 맞팔 드려요/ 주의 : 탐라 대부분이 헛소립니... RQ.B: https://t.co/BwxxFboBaU,61,70,대한민국
17,1134849056948154369,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 15:47:54,50,0,Twitter for Android,1097687104472080384,eunsiriyeyo,BOSS_K,2019-02-19 02:39:34,,1,44,대한민국
18,1134848077125128192,@JIN_0117 우환청심환이라도 챙겨가야겠어....😱,2019-06-01 15:44:00,0,0,Twitter for Android,301429184,ellquiness13,Sumin*スミン / 6/8 リリイベ 🎶,2011-05-19 13:15:30,"田中稔彦さん*日向野祥さん*中尾拳也さん♡ 声が大好き♡/ 柊羽*英知*昂輝*衛 / 日本語, English OK(not very well ;ㅅ;) 韓國人です/ FUB Free :D /공구계 @Winterer131 / 프사는 아니가 그려줬어요:)",317,1262,Seoul
19,1134847169444270080,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 15:40:24,50,0,Twitter for Android,960419352724979714,LThThanhNgn12,Điền Chính Quốc,2018-02-05 07:46:32,Fan Account @bts_twt,262,4313,
20,1134847012275228672,진 보라?머리?😱,2019-06-01 15:39:46,0,0,Twitter for Android,858332410722754560,ARMYS2BTS1,BTS💜홍양💛ARMY,2017-04-29 14:49:28,"@BTS_twt
 헤더:@sujup0613",267,263,대한민국 
21,1134844588487614465,"헉 김석진완댜님 보라색 머리?😱💜💜
상상도 안된다 벌써설레 미쵸미쵸",2019-06-01 15:30:08,2,13,Twitter for Android,912521357941866497,jJiImMbts,찜니찜💜Persona🤟,2017-09-26 03:37:00,"방탄만하는 어른아미🤗💕
🐨🐹🐱🦄🐥🐯🐰
※초멘안가려요.뎀늦어요(알람안와요)
※모멘트-방탄투어 정리",3967,1775,대한민국
22,1134844490286391297,"@qhdud3742_yoi ....언니도 아프지마...8ㅁ8

그리고 감기...아직도 안 나은거야?!😱💦",2019-06-01 15:29:45,0,0,Twitter for Android,928477790352969728,jss31224,🎗판매글올리는 🌸 하늘별빛 ❄,2017-11-09 04:22:10,2n살 | 부산 | BJD  OB11  육일  캔디돌 | 냥3 집사 | 사진올리는 방 & 일상 | 친목 O  | 마음 도사 💖 | 언팔은 고의가 아닙니다..😭 트위터 오류,592,829,대한민국
23,1134843617858555906,@gavril_gorokhov 대박😱,2019-06-01 15:26:17,0,0,Twitter for iPhone,881730781,goshpie,EGOR FILIPPOV,2012-10-15 06:48:02,저는 경복대학교 학생이에요🇰🇷,276,265,"Seoul, Republic of Korea"
24,1134842307646111744,"RT @dytpqdlxn: 이집트와 그리스는 망한 나라?😱
지금도 멀쩡히 있는 국가들🌏인데요?
모르고 푸는 자의적해석은 이제 그만~🙅‍♂️

[HMBC] 계 17장 [다섯 왕]의 참 의미는?
▶ https://t.co/APdyanjwJC…",2019-06-01 15:21:05,477,0,Twitter for Android,727671003833237504,rpTgBgiILcmCMri,한정임,2016-05-04 01:27:41,,13,2,
25,1134841038395207682,세상에 1년의 반이 지나갔네 어쩌지 😱😔😔😢😢😢😢🤔🤔🤔😵😖🤪🤪 https://t.co/tidN8NYiwg,2019-06-01 15:16:02,0,0,Twitter for iPhone,502982384,adorablehyun,여름물,2012-02-25 13:01:46,아미에요 / I’m army /わたしは アミです/💡☁️💫✨,20,85,대한민국 강남구
26,1134838683813605376,"RT @ATEEZofficial: [#윤호] 옷, 모자는 에이티즈!💕 윤호는 민낯티즈!😱
#ATEEZ #에이티즈 https://t.co/UwuWPtnTKk",2019-06-01 15:06:41,10708,0,Twitter for Android,1048777212382470144,898Got7,👑 ~ Team Wave ~ 👑 #ATEEZISCOMING 🌠,2018-10-07 03:29:07,"🌹~ San
🌻~ Wooyoung
🌷~ Mingi
🌺~ Hong Joong
🌸~ Seong~Hwa
🌼~ Jong Ho
🍄~ Yeo Sang
💐~ Yun Ho
#TEAMWAVE
#ATEEZISCOMING
#ONE_TO_All
#ATINY
#San
#Wooyoung",15,151,
27,1134838587646545921,결국 다 봤고 결말 너무 놀라 자빠질뻔 😱,2019-06-01 15:06:18,0,0,Twitter for iPhone,214817118,yokaiyokodori,샘새,2010-11-12 09:10:25,착하고예쁜욕심쟁이샘새,119,150,South Korea
28,1134838539189796866,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 15:06:06,50,0,Twitter for Android,919220221818281984,2m_jin_gch,거창한태태,2017-10-14 15:15:53,,262,15,
29,1134837822613942272,"RT @ATEEZofficial: [📷] TODAY ATEEZ
　
에이티즈 배 알까기 대회부터💥
충격 발표! 우산☂️ 어떻게 될 것인가😱
귀국 날 공개될 벌칙도 기대해주세요!🥁
　
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co…",2019-06-01 15:03:15,10665,0,Twitter for Android,1048777212382470144,898Got7,👑 ~ Team Wave ~ 👑 #ATEEZISCOMING 🌠,2018-10-07 03:29:07,"🌹~ San
🌻~ Wooyoung
🌷~ Mingi
🌺~ Hong Joong
🌸~ Seong~Hwa
🌼~ Jong Ho
🍄~ Yeo Sang
💐~ Yun Ho
#TEAMWAVE
#ATEEZISCOMING
#ONE_TO_All
#ATINY
#San
#Wooyoung",15,151,
30,1134837197381677057,@MYOHYANG_0926 악 안 돼요 나오세요!😱,2019-06-01 15:00:46,0,0,Twitter for iPhone,1129569173988814848,kogo_cos_,코고야 사랑해,2019-05-18 02:07:32,🇰🇷CosplayerㅣFUB freeㅣ하고 싶은 것들 못 하는 중.,93,83,대한민국
31,1134836842275061760,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:59:22,50,0,Twitter for iPhone,243041265,geo1775,산타소녀,2011-01-26 04:41:41,,385,7,
32,1134836305433489408,"RT @seoulmania: 47초부터 소름 😱😡
긴박한 상황에 다행히 범인은 체포되었는데..
경찰이 빨리 출동할 수 있었던 이유는?
.
.
.
🔎여성안심귀가스카우트 자세히 https://t.co/lbrbUraUGL
#범인 #검거영상 #체포 #CCT…",2019-06-01 14:57:14,5137,0,Twitter for iPhone,2256427514,sapgyocheon,삽교천,2013-12-21 12:44:02,생각보다..,54,702,삽교천
33,1134834783861665792,"RT @seoulmania: 47초부터 소름 😱😡
긴박한 상황에 다행히 범인은 체포되었는데..
경찰이 빨리 출동할 수 있었던 이유는?
.
.
.
🔎여성안심귀가스카우트 자세히 https://t.co/lbrbUraUGL
#범인 #검거영상 #체포 #CCT…",2019-06-01 14:51:11,5137,0,Twitter for iPhone,1113435418324660224,eruz_soc,EZWEI🎗파쇼왜구당 박멸,2019-04-03 13:37:45,엘츠@eruzwei의 시사계정 가오킹 사절 페미니즘의 가치를 떨어트리는 젠더나치 사절 사이비 사절 장사꾼 사절,3,43,
34,1134834703704322048,"RT @dytpqdlxn: 이집트와 그리스는 망한 나라?😱
지금도 멀쩡히 있는 국가들🌏인데요?
모르고 푸는 자의적해석은 이제 그만~🙅‍♂️

[HMBC] 계 17장 [다섯 왕]의 참 의미는?
▶ https://t.co/APdyanjwJC  

🍒천국…",2019-06-01 14:50:52,434,0,Twitter for Android,997730752685981696,UaQnH1LHAQvxpU9,김행복,2018-05-19 06:48:43,진리의 사랑은 영원하다,990,1318,대한민국 과천
35,1134834151654170625,"RT @dytpqdlxn: 이집트와 그리스는 망한 나라?😱
지금도 멀쩡히 있는 국가들🌏인데요?
모르고 푸는 자의적해석은 이제 그만~🙅‍♂️

[HMBC] 계 17장 [다섯 왕]의 참 의미는?
▶ https://t.co/APdyanjwJC   

🍒천…",2019-06-01 14:48:40,506,0,Twitter for Android,997730752685981696,UaQnH1LHAQvxpU9,김행복,2018-05-19 06:48:43,진리의 사랑은 영원하다,990,1318,대한민국 과천
36,1134832298782625792,"RT @mlkinobg: 으어, 눈이 말똥. 웸블리 중계 시간 맞춰서 며칠 전부터 컨디션조절 할 껄. 갑자기 바꾸려니 안되네. 날밤 샐 각이다.🥺😱

#PremiosMTVMIAW 
#MTVBRKPOPBTS 
#MTVBRFANDOMBTSARMY 
@B…",2019-06-01 14:41:18,4,0,Twitter for Android,1115100855072464896,BTS_TOFOKOO,투표꾸,2019-04-08 03:55:36,방탄소년단 투표 계정,312,406,
37,1134831450618916866,"트위터..연결해서 작성하긴 하는데..
지금 이게 이렇게 하는게 맞는지 모르겠네여..
내가 나한테 또 답글 선택취소를 안하구 할 줄이야😅

정말 트위터 어렵당..😱😅",2019-06-01 14:37:56,0,0,Twitter for Android,1072851536856797184,sung_mi_0625,성Mi💜,2018-12-12 13:51:53,보라빛 리시안셔스가 너무나도 좋아💜 '변치 않는 사랑' 이라는 말이래 그냥 그렇다구😁,7,18,대한민국
38,1134830955758346240,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:35:58,50,0,Twitter for Android,1120175590970134528,bangtantooopyo2,리나; 방탄툽계정,2019-04-22 04:00:47,선팔=맞팔 | 투표 열심히 하겠습니다🔥 @bangtantooopyo @bangtantooopyo3 💜 @BTS_twt,336,361,여기도캐나다방구석1열
39,1134830277253947393,"RT @peaca121: 보여라니😱😱😱내가 아는 보여가 맞나?ㅋㅋㅋ안보일듯ㅋ
#강다니엘 #KangDaniel https://t.co/DBY1rt1T3M",2019-06-01 14:33:16,74,0,Twitter for Android,942759698096254976,latx1VygpXXXGyR,부산상남자 녤~,2017-12-18 14:13:22,다녤~~💖,156,8,대한민국
40,1134826649994743811,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:18:52,50,0,Twitter for iPhone,994470013883969537,purple_you710,purple_you,2018-05-10 06:51:42,,75,180,
41,1134826640457064453,"RT @ATEEZofficial: [📷] TODAY ATEEZ
　
에이티즈 배 알까기 대회부터💥
충격 발표! 우산☂️ 어떻게 될 것인가😱
귀국 날 공개될 벌칙도 기대해주세요!🥁
　
#TODAY_ATEEZ #ATEEZ #에이티즈 https://t.co…",2019-06-01 14:18:49,10665,0,Twitter for Android,1104000654136217600,suran4lifestan,WHY AREN'T YOU STANNING DAY6?!,2019-03-08 12:47:22,"Its okay to be slow.🍃🌻
Gugudan.💖💗❤💖
Sejeong.💖💖🌻🌞🔆💖💖",34,388,South Africa
42,1134826236113375234,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:17:13,50,0,Twitter for Android,954784287538085888,SuNNydlstjs,아미오💛쿠우💛,2018-01-20 18:34:48,"all of my wonder, the answer to that",296,447,
43,1134825348888125440,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:13:41,50,0,Twitter for Android,1080472768330706944,MONO_LOVE_,모노,2019-01-02 14:35:57,방탄조아맨   @BTS_twt,29,88,
44,1134825033740693505,"RT @ymsocool: 너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:12:26,50,0,Twitter for iPhone,1061258116702978048,ht0M2777udWGk5m,작은 것들을 위한 시📝럽뇽,2018-11-10 14:03:47,Love myself 💕나 자신에게 솔찍 / 항상 건강 / 💚.. 🐿 / 헤더 @karmakhamela 님 넘 예뻐요. 감사합니다💕,523,1578,
45,1134824573189406721,"너무 떨려요~~~😱
내 정신이 온전하길 바라면서....
#MTVBRFANDOMBTSARMY #PremiosMTVMIAW @BTS_twt https://t.co/C1EYLkc4ZY",2019-06-01 14:10:36,50,66,Twitter for Android,962636798416502784,ymsocool,너굴쏘쿨,2018-02-11 10:37:52,초멘 괜찮아요 ^^ 확인하는대로 맞팔 할게요. 투표기간에는 폭풍알티합니다 😄  팔언팔자유 Only @BTS_twt !!!,2072,2100,대한민국
